memc_menu_reset	초기화
customize_battery_health_data_percentage_summary	0~100 사이의 값을 입력하세요. 비워 두면 시스템 값을 사용합니다. 실제 배터리 상태가 바뀌는 것은 아닙니다.
display_module_calculates_battery_health_data	모듈이 계산한 배터리 상태 표시
display_module_calculates_battery_health_data_summary	시스템이 제공하는 값 아래에 모듈이 계산한 배터리 상태를 함께 표시합니다.
calculated_maximum_capacity	모듈이 계산한 최대 용량
custom_music_fluid_cloud_whitelist	Fluid Cloud 음악 표시 허용 앱
disable_music_fluid_cloud_display	Fluid Cloud 음악 표시 끄기
set_custom_music_fluid_cloud_whitelist	Fluid Cloud 음악 표시 허용 목록 설정
disable_music_fluid_cloud_blacklist	Fluid Cloud 음악 표시 차단 목록 해제
enable_control_center_progress_percent_display	제어 센터 슬라이더에 퍼센트 표시
custom_control_center_progress_percent_color	제어 센터 퍼센트 글자 색상
statusbar_clock_custom_minimum_width	시계 최소 너비
statusbar_clock_custom_padding	상태 표시줄 시계 여백
statusbar_clock_custom_top_padding	시계 위쪽 여백
statusbar_clock_custom_bottom_padding	시계 아래쪽 여백
statusbar_clock_custom_left_padding	시계 왼쪽 여백
statusbar_clock_custom_right_padding	시계 오른쪽 여백
use_bold_typeface_style	굵은 글꼴 사용
statusbar_network_no_unit	네트워크 속도 단위(B/KB/MB) 숨기기
enable_nfc_delay_shutdown	NFC 끄기 지연
custom_nfc_delay_shutdown_time	NFC를 끄기 전 대기 시간
custom_nfc_delay_shutdown_time_summary	단위는 밀리초이며 기본값은 5000입니다.
control_center_custom_gaps_for_special_tile	가로 화면의 특수 타일 여백
custom_special_tile_top_gap	특수 타일 위쪽 여백
custom_special_tile_bottom_gap	특수 타일 아래쪽 여백
decrease_horizontal_brightness_bar_top_gap	가로 화면의 밝기 막대 위쪽 여백 줄이기
reduce_landscape_brightness_bar_top_gap	가로 화면의 밝기 막대 위쪽 여백 줄이기
voltage_display_mode	전압 표시 방식
voltage_display_mode_mv	mV 단위로 표시
voltage_display_mode_decimal	소수점으로 표시
show_battery_health_degree	배터리 상태 표시
always_show_positive_current	전류를 항상 양수로 표시
allow_app_names_display_multiple_lines	홈 화면 앱 이름을 여러 줄로 표시
custom_app_icon_name_line_height	앱 이름 줄 간격
set_folder_icon_rows	폴더 안의 아이콘 행 수
sync_folder_columns_to_preview	폴더 미리보기에도 같은 열 수 적용
enable_drawer_layout_adjustment	앱 서랍 배치 변경
set_drawer_icon_columns	앱 서랍 아이콘 열 수
set_random_text_display_mode	무작위 문구 표시 방식
custom_random_text_file	무작위 문구 파일
custom_random_text_api	무작위 문구 API
set_aod_typeface_mode	AOD 글꼴 설정
apply_typeface_to_aod_clock	AOD 시계에 글꼴 적용
set_wlan_sla_whitelist_mode	Wi-Fi 이중 채널 가속 허용 목록 방식
remove_wlan_sla_blacklist	Wi-Fi 이중 채널 가속 차단 목록 해제
custom_wlan_sla_whitelist	Wi-Fi 이중 채널 가속 허용 앱
custom_wlan_sla_game_whitelist	Wi-Fi 이중 채널 가속 허용 게임
common_words_customize_file	사용자 지정 파일
common_words_customize_api	사용자 지정 API
color_picker_select_color	색상 선택
color_picker_current_color	현재 색상: %1$s
custom_control_center_silder_transparency	제어 센터 슬라이더 투명도
custom_fluid_cloud_icon_background_transparency	Fluid Cloud 아이콘 배경 투명도
custom_tile_background_transparency	타일 배경 투명도
disable_high_volume_warning_notifications	높은 볼륨 경고 알림 끄기
enable_global_notification_simple_banner_mode	모든 알림에 간결한 배너 사용
enable_notification_background_blur_effect	알림 배경 흐림 효과 사용
force_display_of_device_controls_tiles	기기 제어 타일 강제 표시
remove_control_center_clock_view	제어 센터 시계 숨기기
remove_control_center_edit_button	제어 센터 편집 버튼 숨기기
remove_control_center_more_button	제어 센터 더보기 버튼 숨기기
set_control_center_volume_seekbar_mode	제어 센터 볼륨 막대 표시 방식
set_control_center_volume_seekbar_mode_summary	기본값 / 강제로 사용 / 사용하지 않음
remove_notification_cleanup_button	알림 지우기 버튼 숨기기
statusbar_control_center_date_disable_text_scroll	제어 센터 날짜 텍스트 스크롤 끄기
statusbar_control_center_date_set_display_mode_horizontal	제어 센터 날짜의 가로 화면 표시 방식
statusbar_power_apply_to_battery_icon	배터리 아이콘에도 표시 스타일 적용
statusbar_power_apply_to_battery_icon_summary	시스템 UI를 다시 시작해야 합니다.
disable_screenshot_packagename_md5_encrypt	스크린샷 패키지 이름의 MD5 변환 끄기
enable_stop_charging_at_80	배터리 80%에서 충전 중지
remove_battery_restrict_plugin	배터리 제한 플러그인 끄기
show_phone_usage_screen_time	화면 켜짐 사용 시간 표시
remove_browser_window_limit_number	브라우저 창 수 제한 해제
remove_browser_search_bar_app_promotion	브라우저 검색창의 앱 홍보 숨기기
remove_mms_bottom_input_box_menu	메시지 입력란 하단 메뉴 숨기기
remove_mms_card_marketing_button	메시지 카드의 홍보 버튼 숨기기
disable_weather_jump_browser	날씨 앱에서 브라우저로 이동하지 않기
enable_15_day_weather_expand_list	15일 일기예보 펼쳐 보기
restore_rainfall_cloud_map_page	강수 구름 지도 화면 복원
disable_forced_backup_app_list	앱 목록 강제 백업 끄기
remove_back_gesture_confirmation_limit	뒤로 가기 제스처 재확인 생략
remove_back_gesture_confirmation_limit_summary	Android 15와 16에서만 지원합니다.
enable_photo_listview_senior_picked	갤러리 목록의 고급 선택 기능 사용
enable_photo_editor_gif_synthesis	사진 편집기의 GIF 만들기 사용
enable_spring_festival_watermark	춘절 워터마크 사용
enable_national_day_watermark	중국 국경절 워터마크 사용
set_photo_view_thumb_line_display_mode	사진 미리보기 막대 표시 방식
