log_save_failed	로그를 저장하지 못했어요.
intent_filter_title	필터
intent_sort_and_filter	정렬 및 필터
intent_sort_by	정렬 기준
intent_reverse	역순
intent_filter_label	필터
intent_sort_app_name	앱 이름
intent_sort_package_name	패키지 이름
intent_sort_app_size	앱 크기
intent_sort_install_time	설치 시각
intent_sort_last_update_time	마지막 업데이트 시각
intent_sort_target_sdk	대상 SDK 버전
select_all_share_intent	공유 메뉴 전체 선택
select_all_text_intent	텍스트 선택 메뉴 전체 선택
select_all_open_with_intent	연결 앱 메뉴 전체 선택
select_all_browser_intent	브라우저 메뉴 전체 선택
clear_intent_config_data	모든 설정 삭제
clear_intent_config_data_confirm	공유·열기 메뉴에 설정한 모든 앱 데이터를 삭제할까요?
memc_config	동영상 프레임 보간(MEMC)
memc_config_summary	동영상 프레임 보간을 사용할 앱과 세부 값을 설정합니다.
memc_tab_packages	앱
memc_tab_activitys	액티비티
memc_search_hint_packages	패키지 이름
memc_search_hint_activitys	패키지 이름 / 액티비티 이름
memc_dialog_hint_package	패키지 이름
memc_dialog_hint_activity	액티비티 이름
memc_dialog_hint_rate	주사율
memc_dialog_hint_type	유형
memc_dialog_helper_memc	추가 매개변수는 다음 명령으로 확인하세요.\n/odm/bin/irisConfig -help 2 (MEMC)
memc_dialog_helper_sdr2hdr	추가 매개변수는 다음 명령으로 확인하세요.\n/odm/bin/irisConfig -help 3 (SDR2HDR)
memc_add	추가
memc_remove	삭제
memc_menu_import_xml	XML 가져오기
