enable_developer_page	개발자 화면 사용
unlock_local_upgrade_summary	누르면 필요한 작업을 자동으로 수행합니다. 완료될 때까지 잠시 기다려 주세요.
restore_ota_update_verity	OTA 업데이트 검증 복원
restore_ota_update_verity_summary	현재 상태: [%1$s]\nOTA 업데이트에서 검증 실패 또는 dm-verity 오류가 나타날 때 사용하세요.\n시스템은 기본적으로 업데이트 검증을 사용하므로, 이미 켜져 있으면 이 옵션을 선택할 수 없습니다.\n검증을 끄면 OTA 업데이트에 실패할 수 있어, 복원한 뒤에는 이 기능으로 다시 끌 수 없습니다.
extract_ota_information	OTA 업데이트 정보 추출
extract_ota_information_summary	새 업데이트를 찾은 후 누르면 OTA 정보를 추출합니다.
no_ota_data	OTA 정보 없음
extract_ota_source	추출 출처
remove_image_save_watermark	사진 저장 시 워터마크 없애기
remove_video_save_watermark	동영상 저장 시 워터마크 없애기
force_display_communication_sharing	통신 공유 설정 강제 표시
AonGesture	에어 제스처
force_enable_aon_gestures	에어 제스처 강제 활성화
force_enable_aon_gestures_summary	AONService(com.aiunit.aon)가 설치되어 있어야 하며, 해당 앱에 카메라 권한을 허용해야 합니다.
custom_aon_gesture_scroll_page_whitelist	에어 제스처 스크롤 허용 앱
custom_aon_gesture_whitelist_tips	허용할 앱의 패키지 이름을 한 줄에 하나씩 입력해 주세요.
enable_volume_key_control_flashlight	볼륨 버튼으로 손전등 제어
FullScreenGestureRelated	전체 화면 제스처
remove_side_slider	측면 제스처 표시 숨기기
remove_side_slider_black_background	측면 제스처 표시의 검은 배경 없애기
remove_rotate_screen_button	화면 회전 버튼 숨기기
CustomSideSliderIcon	측면 제스처 아이콘
replace_side_slider_icon_switch	측면 제스처 아이콘 바꾸기
replace_side_slider_icon_switch_summary	너비가 100픽셀 정도인 이미지를 권장합니다.
replace_side_slider_icon_on_left	왼쪽 제스처 아이콘
replace_side_slider_icon_on_right	오른쪽 제스처 아이콘
remove_verification_code_floating_window	인증번호 팝업 숨기기
remove_ads_from_download_dialog	다운로드 대화상자의 광고 숨기기
remove_ads_at_download_page_bottom	다운로드 화면 하단 광고 숨기기
BreenoTouch	Breeno 화면 인식
remove_app_recommend_card	앱 추천 카드 숨기기
searchbox_default_search_local_tab	검색 시 기기 내 검색 탭을 기본으로 열기
remove_searchbox_uninstalled_app_suggestions	설치하지 않은 앱 추천 숨기기
remove_market_splash_page_app_recommend	스토어 시작 화면의 앱 추천 숨기기
remove_market_update_page_app_recommend	스토어 업데이트·다운로드 화면의 앱 추천 숨기기
remove_market_download_page_app_recommend	스토어 다운로드 화면의 앱 추천 숨기기
remove_market_mine_page_app_recommend	스토어 내 정보 화면의 앱 추천 숨기기
skip_startup_page	시작 화면 건너뛰기
vip_download	원본 사진 다운로드
remove_pro_license	라이선스 검사 끄기
adm_unlock_pro	Pro 기능 제한 해제
unlock_pro	Pro 기능 제한 해제
adm_unlock_more_threads	다운로드 스레드 수 제한 해제
adm_unlock_more_threads_summary	동시에 사용할 최대 다운로드 스레드 수를 설정합니다. 0은 기본값입니다.
enable_docker_background	하단 독 배경 확장
force_enable_docker_background_blur	하단 독 배경 흐림 효과 강제 활성화
force_enable_recent_task_memory_display	최근 앱 화면에 메모리 사용량 강제 표시
enable_auto_close_folder	앱 실행 후 폴더 자동 닫기
remove_widgets_add_request_whitelist	위젯 추가의 앱 제한 해제
remove_launcher_card_name	홈 화면 카드 이름 숨기기
disable_long_press_app_icon_secondary_menu	앱 아이콘을 길게 눌렀을 때 하위 메뉴 끄기
enable_launcher_indicator_entry	홈 화면 페이지 표시기 설정 사용
remove_docker_max_number_limit	하단 독의 최대 아이콘 수 제한 해제
remove_folder_name_input_limit	폴더 이름 입력 제한 해제
disable_auto_switch_last_task	이전 앱으로 자동 전환 방지
custom_desktop_default_home_page	기본 홈 화면 페이지
custom_desktop_default_home_page_summary	0은 시스템 기본값입니다. 직접 지정하려면 1부터 시작하는 페이지 번호를 입력하세요.
custom_launcher_app_icon_size	홈 화면 앱 아이콘 크기
custom_multi_window_display_upper_limit	동시에 표시할 최대 창 수
custom_app_floating_window_display_mode	앱 팝업 창 표시 방식
set_app_update_dot_display_mode	앱 업데이트 알림 점 표시 방식
remove_power_menu_sos_button	전원 메뉴의 긴급 전화(SOS) 버튼 숨기기
show_manual_lock_button_power_menu	전원 메뉴에 수동 잠금 버튼 표시
hide_lock_screen_status_bar_display	잠금 화면의 상태 표시줄 숨기기
auto_wake_up_face_unlock_notification	알림 수신 시 화면을 켜서 얼굴로 잠금 해제
force_display_clock_style_options	시계 스타일 설정 강제 표시
lock_screen_show_real_charging_technology	잠금 화면에 실제 충전 기술 표시
replace_charging_technology_drawing_style	충전 기술 표시 스타일 바꾸기
statusbar_custom_carrier_display_text	통신사 표시 문구
remove_start_recording_or_casting_dialog	화면 녹화·전송 시작 확인 생략
run_floating_window_tasks_in_foreground	팝업 창 작업을 포그라운드로 실행
force_show_toast_icon	짧은 안내 메시지에 앱 아이콘 강제 표시
disable_accessibility_warning_dialog	접근성 권한 경고 팝업 끄기
remove_lock_screen_clock_component	잠금 화면 시계 숨기기
lock_screen_custom_clock_component_style	잠금 화면 시계 스타일
set_aod_notification_icon_style	AOD 알림 아이콘 스타일
remove_multi_app_created_num_limit_for_apps	앱별 복제 생성 개수 제한 해제
fps_title	주사율 강제 지정
fps_summary	dfps와 같은 다른 가변 주사율 제어 기능과 충돌할 수 있습니다.
brand	브랜드
model	모델
product	제품
market_name	판매용 모델명
flash	플래시 메모리
build_version	빌드
device	기기
system	시스템
fps_tips	자동 시작 기능은 화면 잠금을 해제한 후 1초 뒤에 실행됩니다.
restore_default_refresh_rate	기본 주사율 복원
module_isactivated	모듈 활성화됨
module_notactive	모듈 비활성화됨
module_has_updated	모듈 업데이트됨
module_is_disabled	모듈 사용 중지됨
module_version	모듈 버전:
update_time	업데이트 시각
last_update_time	마지막 업데이트 시각
copy_download_link	다운로드 링크 복사
fps_autostart	자동 시작
fps_no_data	주사율 정보를 가져오지 못했어요. 루트 권한을 확인해 주세요.
device_guid	기기 GUID
oplusota_copy_tip	입력란을 길게 누르면 해당 항목만 복사할 수 있습니다.
oplusota_copyall	모두 복사
quick_entry	시스템 바로가기
quick_entry_summary	시스템 UI 튜너, 프로세스 관리, 엔지니어링 모드 등의 화면을 엽니다.
SystemDebuggingRelated	시스템 디버깅
engineering_mode	엔지니어링 모드
charging_test	충전 테스트
developer_option	개발자 옵션
system_interface_adjustment	시스템 UI 튜너
AOSPSettingsPage	AOSP 기본 설정
HidePageRelated	숨겨진 설정 화면
process_manager	프로세스 관리
very_dark_mode	더 어둡게
battery_health	배터리 상태
battery_optimization	배터리 최적화
camera_algo_page	카메라 알고리즘 설정
about_device	휴대전화 정보
app_management	앱 관리
permission_privacy	권한 및 개인정보 보호
connection_sharing	연결 및 공유
display_settings	디스플레이
lock_screen_settings	잠금 화면
other_settings_entry	기타 설정
other_preferences	기타 환경설정
password_security	비밀번호 및 보안
sound_settings	소리
status_bar_settings	상태 표시줄
share_settings	공유
browser_concise_mode	브라우저 간편 모드
GameAssistantRelated	게임 도우미
game_assistant_page	게임 도우미 화면
game_space_page	게임 공간 화면
game_assistant_develop_page	게임 도우미 개발자 화면
set_module_shortcuts	앱 바로가기 설정
set_module_shortcuts_summary	모듈 아이콘을 길게 누르면 켜 둔 바로가기가 표시됩니다.
remote_adb_debug_title	원격 ADB 디버깅
remote_adb_debug_summary	사용하지 않을 때는 반드시 꺼 주세요.
adb_port	ADB 포트
enable_remote_adb_debugging	원격 ADB 디버깅 사용
adb_debug_port_cannot_null	ADB 디버깅 포트를 입력해 주세요.
adb_tv_tip	길게 눌러 복사
adb_connect_address_format	adb connect %1$s:%2$d
log_save_success	로그를 저장했어요.
